Video ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5
jIjTFt6XmFM,(Nice Dream),The Bends,Radiohead,,,,
Nu5kZIViwxs,10/10,Pony,Rex Orange County,,,,
yLyEkCRQfGQ,4 Seasons,Apricot Princess,Rex Orange County,,,,
s9i-W7a4ZVQ,4Me 4Me,4Me 4Me,Malcolm Todd,,,,
hhsD3eyUlYk,A Couple Minutes,The Art of Loving,Olivia Dean,,,,
KWuyx6yZ21U,A Sky Full of Stars,Ghost Stories,Coldplay,,,,
4PgOJwUCdIc,About You,Being Funny In A Foreign Language,The 1975,,,,
EdmpLGERRvQ,About You,Being Funny In A Foreign Language,The 1975,,,,
zV6P77Y4D6k,AFTER HOURS,AFTER HOURS,Avenoir,,,,
9jdLnFYQh4s,"All The Stars (From ""Black Panther: The Album"")",All the Stars,Kendrick Lamar,SZA,,,
ju4KQT0wL0I,All The Stars,Black Panther The Album Music From And Inspired By,Kendrick Lamar,SZA,,,
X9cBifpETO8,Already Gone,"Covers, Vol. 2",Sleeping At Last,,,,
P-X-iHTe5PI,Am I Dreaming,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,A$AP Rocky,Roisee,,
N-6ZE_1avDo,Amtrak,Amtrak,Los Retros,,,,
QuNFG3Zt4-Q,anything,songs,Adrianne Lenker,,,,
DdI598gKkKw,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,,,,
LlxOzikJ0a4,Apocalypse,Apocalypse,Cigarettes After Sex,,,,
Gb76TgCUqAY,ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator",,,,
ypBbg3-WbD4,At The Door,The New Abnormal,The Strokes,,,,
9vWNauaZAgg,Back In Black,Back In Black,AC/DC,,,,
dbEY-JVHJWg,back to friends,back to friends,sombr,,,,
4W0-DqdecqQ,back to friends (slowed + reverb),back to friends (slowed + reverb),MysticSound38,,,,
pHDrrEN_NS8,Backseat,Backseat,Balu Brigada,,,,
EAyY3_xWZYY,bad,0.1 flaws and all.,wave to earth,,,,
JseJETvMtHY,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,Bad Bunny,,,,
2RBhN09ZQdc,Bang Bang,Troubadour,K'NAAN,Adam Levine,,,
Qf-mfSprHOk,Barely Legal,Is This It,The Strokes,,,,
4Uyli38PzT8,Be Be Your Love,Happenstance,Rachael Yamagata,,,,
OMciTtH1Cxg,Beanie,47,Chezile,,,,
Ro0vTEuSUuo,Beanie,Beanie,Chezile,,,,
eLhSxOAaWmg,Beautiful Things,Fireworks & Rollerblades,Benson Boone,,,,
a6EJoFuCAEQ,Belly (The Grass Stains),Bcos U Will Never B Free,Rex Orange County,,,,
MMvlxSupSVE,Best Friend,Best Friend,Rex Orange County,,,,
zNhtz0Lygik,Best Part,Freudian,Daniel Caesar,H.E.R.,,,
WKZO-CWeOVA,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,,,,
IYNd35h1jrk,Bleed,Accept,Dead Calm,,,,
nIQxhSvSRnQ,Bodysnatchers,In Rainbows,Radiohead,,,,
yl3TsqL0ZPw,Bohemian Rhapsody,Bohemian Rhapsody (The Original Soundtrack),Queen,,,,
